word,nr. of tokens,tokens,word score
cosmic,2,cos_mic,-17.92037582397461
cosmical,3,cos_m_ical,-22.99380111694336
cosmology,2,cos_mology,-19.47884750366211
cosmopolitan,2,cos_mopolitan,-20.141551971435547
cosmopolitanism,3,cos_mopolitan_ism,-23.011493682861328
cosmos,2,cos_mos,-18.584728240966797
cosponsors,2,c_osponsors,-22.282764434814453
cossack,3,c_oss_ack,-21.26244354248047
cossacks,3,c_oss_acks,-21.77428436279297
cost,1,cost,-14.19772720336914
costaggini,4,cost_ag_gin_i,-41.22493362426758
costing,2,cost_ing,-17.774860382080078
costive,2,cost_ive,-24.296058654785156
costlier,2,cost_lier,-23.064533233642578
costly,2,cost_ly,-19.826499938964844
costs,2,cost_s,-15.760841369628906
costume,2,cost_ume,-17.813796997070312
costumes,2,cost_umes,-18.351879119873047
cotillion,2,cot_illion,-28.268966674804688
cottage,2,cott_age,-18.919429779052734
cottages,2,cott_ages,-22.193077087402344
cotten,2,c_otten,-23.766395568847656
cotter,2,cot_ter,-22.300479888916016
cotton,2,c_otton,-17.701168060302734
couch,2,c_ouch,-17.00067138671875
couched,2,c_ouched,-22.07693099975586
couches,3,c_ou_ches,-22.051979064941406
cough,2,c_ough,-18.012897491455078
coughing,3,c_ough_ing,-21.328903198242188
coughlin,3,c_ough_lin,-26.377765655517578
could,1,could,-13.99612808227539
coulomb,3,c_oul_omb,-21.63827133178711
council,3,c_oun_cil,-18.481155395507812
councilwoman,4,c_oun_cil_woman,-24.731098175048828
counsel,3,c_oun_sel,-18.13408660888672
counseling,4,c_oun_sel_ing,-19.037506103515625
counselor,4,c_oun_sel_or,-19.251197814941406
counselors,4,c_oun_sel_ors,-21.001968383789062
count,1,count,-14.19394302368164
counted,2,count_ed,-18.588764190673828
countenance,2,count_enance,-20.51400375366211
counter,1,counter,-14.622058868408203
counteracted,2,counter_acted,-22.508277893066406
counterattack,2,counter_attack,-18.79448699951172
counterchallenge,3,counter_chall_enge,-27.051956176757812
counterpart,2,counter_part,-19.34290313720703
counterparts,2,counter_parts,-18.52785873413086
counterpoint,2,counter_point,-19.958839416503906
counterproposal,3,counter_pro_posal,-22.10605239868164
counters,2,c_ounters,-18.775108337402344
counties,2,count_ies,-18.34661102294922
counting,2,count_ing,-17.022727966308594
countless,2,count_less,-17.925846099853516
countries,2,count_ries,-15.954826354980469
country,1,country,-15.299007415771484
countrymen,2,country_men,-23.122703552246094
countryside,2,country_side,-20.583026885986328
countrywide,2,country_wide,-19.76911163330078
counts,2,count_s,-17.572898864746094
county,2,count_y,-16.134532928466797
coup,2,c_oup,-17.071266174316406
coupe,3,c_ou_pe,-21.434368133544922
couperin,4,c_ou_per_in,-28.743507385253906
couple,2,c_ouple,-16.667526245117188
coupled,3,c_ou_pled,-19.27611541748047
coupler,3,c_ou_pler,-21.427398681640625
couplers,4,c_ou_pl_ers,-22.242820739746094
couples,3,c_ou_ples,-18.928401947021484
coupling,3,c_ou_pling,-20.765735626220703
coupon,3,c_oup_on,-17.58114242553711
courage,2,c_ourage,-17.890907287597656
courageous,3,c_ourage_ous,-19.076698303222656
courageously,3,c_ourage_ously,-21.745460510253906
courcy,2,cour_cy,-24.589794158935547
course,1,course,-15.29574966430664
courses,2,c_ourses,-17.135807037353516
court,1,court,-16.014347076416016
courteous,3,cour_te_ous,-21.576141357421875
courteously,3,cour_te_ously,-24.670103073120117
courtesy,2,cour_tesy,-13.586690902709961
courthouse,2,cour_thouse,-21.064388275146484
courtier,2,court_ier,-21.525348663330078
courting,2,cour_ting,-19.946979522705078
courtroom,2,court_room,-20.545917510986328
courts,2,cour_ts,-17.837108612060547
courtyard,2,cour_tyard,-21.05316162109375
cousin,3,c_ous_in,-19.66536521911621
cousins,3,c_ous_ins,-19.33461570739746
cove,2,c_ove,-18.25397491455078
covent,3,c_ov_ent,-21.057476043701172
coventry,3,c_ov_entry,-20.704654693603516
cover,1,cover,-13.145687103271484
coverage,2,co_verage,-17.302509307861328
coverall,2,cover_all,-20.625164031982422
covered,1,covered,-15.486896514892578
covering,2,cover_ing,-17.40140151977539
coverlet,2,cover_let,-20.860492706298828
covers,2,co_vers,-16.260047912597656
covington,3,c_oving_ton,-20.599224090576172
cow,1,cow,-15.952930450439453
coward,2,cow_ard,-19.677162170410156
cowbirds,2,cow_birds,-23.796966552734375
cowboy,2,cow_boy,-16.732807159423828
cowhand,2,cow_hand,-25.113933563232422
cowling,2,cow_ling,-21.823017120361328
cowpony,3,cow_p_ony,-24.837265014648438
cowpuncher,3,cow_pun_cher,-25.300960540771484
cows,2,c_ows,-18.778972625732422
cox,1,cox,-18.66170883178711
coy,2,c_oy,-18.162883758544922
coyness,3,c_oy_ness,-27.384727478027344
coyote,3,c_oy_ote,-18.806236267089844
coyotes,3,c_oy_otes,-20.033065795898438
cps,2,c_ps,-18.822246551513672
cr,1,cr,-13.094341278076172
crack,2,cr_ack,-16.309337615966797
cracked,2,cr_acked,-17.41767120361328
crackers,2,cr_ackers,-19.086219787597656
cracking,2,cr_acking,-18.171913146972656
crackle,2,cr_ackle,-19.136150360107422
crackling,3,cr_ack_ling,-19.913116455078125
crackpot,3,cr_ack_pot,-19.584529876708984
crackpots,3,cr_ack_pots,-21.973915100097656
cradle,2,cr_adle,-19.304595947265625
cradled,3,cr_ad_led,-22.240795135498047
craft,1,craft,-15.930652618408203
crafts,2,craft_s,-18.700157165527344
craftsmanship,2,craft_smanship,-20.428638458251953
craftsmen,3,craft_s_men,-22.351238250732422
crafty,2,craft_y,-17.344402313232422
craig,3,c_ra_ig,-17.560726165771484
crammed,3,c_ram_med,-20.64129638671875
cramp,2,cr_amp,-18.67046356201172
cramps,2,cr_amps,-20.509868621826172
crane,2,cr_ane,-18.183364868164062
cranelike,4,c_ran_el_ike,-28.763202667236328
cranston,3,c_ran_ston,-21.060989379882812
crap,2,c_rap,-18.532657623291016
crash,2,cr_ash,-15.352928161621094
crashed,2,cr_ashed,-17.980392456054688
crashing,2,cr_ashing,-17.85324478149414
crassest,3,cr_ass_est,-23.762832641601562
crater,2,cr_ater,-20.093849182128906
cratered,3,c_rate_red,-23.553794860839844
craters,2,cr_aters,-21.409400939941406
crates,2,cr_ates,-18.695735931396484
crave,2,c_rave,-18.90076446533203
craved,2,c_raved,-22.552982330322266
crawford,3,c_raw_ford,-19.815563201904297
crawl,2,c_rawl,-17.294811248779297
crawled,2,c_rawled,-20.499744415283203
crawling,2,c_rawling,-18.93738555908203
crayons,3,c_ray_ons,-20.25171661376953
crazily,3,c_raz_ily,-22.563522338867188
crazy,1,crazy,-14.90664291381836
creak,2,cre_ak,-20.125186920166016
creaked,2,cre_aked,-23.422130584716797
creaking,2,cre_aking,-21.46184539794922
cream,1,cream,-17.042285919189453
creamer,2,cream_er,-22.311012268066406
creamy,2,cream_y,-17.544391632080078
crease,2,cre_ase,-20.47101593017578
creased,2,cre_ased,-22.121902465820312
create,1,create,-12.97317886352539
created,1,created,-13.65109634399414
creates,2,creat_es,-14.496335983276367
creating,2,creat_ing,-15.408185958862305
creation,1,creation,-15.92464828491211
creations,2,cre_ations,-19.65917205810547
creative,2,creat_ive,-15.40898323059082
creatively,2,creat_ively,-18.256656646728516
creativeness,2,creat_iveness,-20.514141082763672
creativity,2,creat_ivity,-17.375194549560547
creator,1,creator,-15.054126739501953
creators,2,creat_ors,-17.031841278076172
creature,2,creat_ure,-15.837989807128906
creche,2,cre_che,-21.618236541748047
credentials,3,c_red_entials,-18.536155700683594
credibly,2,c_redibly,-21.053730010986328
credit,1,credit,-11.646617889404297
creditable,3,c_red_itable,-24.16101837158203
credited,2,c_redited,-19.686325073242188
creditors,3,c_red_itors,-21.924072265625
credits,2,c_redits,-16.762691497802734
credo,2,c_redo,-20.260623931884766
credulity,4,c_red_ul_ity,-23.152725219726562
creed,2,cre_ed,-19.568927764892578
creek,2,c_reek,-19.656558990478516
creep,2,cre_ep,-17.025127410888672
creeper,3,c_ree_per,-17.664154052734375
creeping,2,cre_eping,-19.974010467529297
creepy,3,cre_ep_y,-17.358776092529297
creighton,2,cre_ighton,-19.729816436767578
cremated,3,c_rem_ated,-22.15920639038086
