word,nr. of tokens,tokens,word score
abandoned,3,ab_andon_ed,-17.33200454711914
abhorred,3,ab_hor_red,-24.725341796875
abolitionist,3,abol_ition_ist,-21.03104019165039
abused,2,ab_used,-19.981082916259766
accepted,2,accept_ed,-16.479965209960938
accompanied,1,accompanied,-16.789039611816406
accosted,3,acc_ost_ed,-23.163188934326172
accountant,2,account_ant,-17.75826644897461
accused,2,acc_used,-18.82785415649414
accuser,2,acc_user,-20.34051513671875
acquitted,2,acqu_itted,-21.660564422607422
acrobat,2,ac_robat,-19.32724380493164
activist,2,activ_ist,-16.84682846069336
actor,1,actor,-17.29784393310547
actress,2,act_ress,-18.036754608154297
actuary,2,act_uary,-19.421314239501953
address,1,address,-13.080116271972656
adjuster,2,adjust_er,-21.23946762084961
admiral,3,ad_mir_al,-19.284008026123047
admired,3,ad_m_ired,-21.043468475341797
admirer,3,ad_mire_r,-24.20022201538086
admonished,3,ad_mon_ished,-21.513328552246094
adopted,2,ad_opted,-18.34311294555664
adored,2,ad_ored,-21.324180603027344
adorned,2,ad_orned,-21.110443115234375
adventurer,3,ad_venture_r,-19.17654800415039
advisor,2,ad_visor,-17.62584686279297
affronted,3,aff_ront_ed,-22.19283676147461
agent,1,agent,-16.42389678955078
aggravated,3,agg_rav_ated,-19.469654083251953
agitated,2,ag_itated,-21.574981689453125
aide,2,a_ide,-19.598186492919922
airplane,2,air_plane,-16.58035659790039
alarmed,2,al_armed,-21.928848266601562
alcohol,1,alcohol,-15.478431701660156
alcoholic,2,alcohol_ic,-17.57479476928711
amateur,2,am_ateur,-16.98740005493164
ambassador,2,amb_assador,-17.495872497558594
amused,2,am_used,-20.885231018066406
analyst,2,an_alyst,-19.527023315429688
anchorman,2,anch_orman,-21.96282958984375
announcer,3,ann_oun_cer,-17.559999465942383
annoyed,3,ann_oy_ed,-18.884136199951172
antagonized,3,ant_agon_ized,-26.556495666503906
anthem,2,ant_hem,-21.225482940673828
anthropologist,2,anthrop_ologist,-20.59524917602539
apartment,2,ap_artment,-18.228286743164062
applauded,4,app_l_aud_ed,-21.25278091430664
appointment,2,app_ointment,-18.816261291503906
appraiser,3,app_ra_iser,-21.035261154174805
apprehended,3,app_rehend_ed,-22.283079147338867
apprentice,2,app_rentice,-18.979570388793945
approached,2,appro_ached,-20.399677276611328
approved,1,approved,-14.608932495117188
archaeologist,3,arch_ae_ologist,-19.264949798583984
architect,2,arch_itect,-15.58829116821289
archivist,2,arch_ivist,-19.794448852539062
aristocrat,2,arist_ocrat,-21.107498168945312
arranged,2,arr_anged,-17.22564697265625
arsonist,2,arson_ist,-25.89806365966797
article,1,article,-10.420089721679688
artisan,1,artisan,-18.49573516845703
artist,1,artist,-14.533538818359375
assailant,3,ass_ail_ant,-20.383953094482422
assassin,2,ass_assin,-18.010116577148438
assignment,2,ass_ignment,-17.82403564453125
assistant,2,ass_istant,-18.071300506591797
assisted,1,assisted,-16.205032348632812
assuaged,3,ass_u_aged,-23.58954620361328
asylum,2,as_ylum,-18.18796157836914
ate,1,ate,-18.138893127441406
athlete,2,ath_lete,-17.78704833984375
attacked,2,att_acked,-18.901012420654297
attacker,2,att_acker,-17.953044891357422
attendant,2,att_endant,-19.338172912597656
attended,2,att_ended,-18.687862396240234
attired,2,att_ired,-20.89997100830078
attorney,2,att_orney,-17.319671630859375
au,1,au,-16.384559631347656
audience,2,aud_ience,-17.299232482910156
auditor,2,aud_itor,-18.619598388671875
aunt,1,aunt,-18.133323669433594
author,1,author,-12.980827331542969
autographed,2,aut_ographed,-20.425716400146484
aviator,2,avi_ator,-20.199562072753906
awed,1,awed,-20.07610321044922
baby,1,baby,-14.298561096191406
bachelor,2,b_achelor,-18.4903564453125
badgered,2,bad_gered,-21.981399536132812
baffled,3,b_aff_led,-19.526905059814453
bag,1,bag,-17.063499450683594
baguette,3,b_agu_ette,-21.150924682617188
bailiff,3,b_ail_iff,-20.544979095458984
baker,2,b_aker,-17.553417205810547
ballerina,3,ball_er_ina,-19.667095184326172
ballot,2,ball_ot,-18.449806213378906
banished,2,ban_ished,-19.800678253173828
banker,2,bank_er,-18.389598846435547
banner,2,ban_ner,-17.178424835205078
barber,2,bar_ber,-17.679790496826172
baron,2,bar_on,-19.191112518310547
baroness,3,bar_on_ess,-23.823040008544922
barrister,3,b_arr_ister,-19.95785903930664
basin,2,bas_in,-20.434356689453125
basted,2,b_asted,-19.874237060546875
battery,2,b_attery,-15.815326690673828
bear,1,bear,-15.382461547851562
beat,1,beat,-15.995338439941406
beaten,2,beat_en,-20.25395965576172
befriended,4,b_ef_riend_ed,-22.309242248535156
befuddled,3,b_ef_uddled,-22.55683135986328
begged,2,be_gged,-20.21945571899414
beginner,2,begin_ner,-16.593711853027344
begrudged,4,be_gr_ud_ged,-24.47940444946289
believed,2,bel_ieved,-17.70901107788086
belittled,3,bel_itt_led,-20.483501434326172
bellboy,2,bell_boy,-21.33367919921875
bemused,3,b_em_used,-22.316497802734375
