word,nr. of tokens,tokens,word score
abandoned,3,ab_andon_ed,-26.86488628387451
abhorred,3,ab_hor_red,-33.855414390563965
abolitionist,3,abol_ition_ist,-34.07750129699707
abused,2,ab_used,-21.37212371826172
accepted,2,accept_ed,-23.337674140930176
accompanied,1,accompanied,-21.565353393554688
accosted,3,acc_ost_ed,-28.43631649017334
accountant,2,account_ant,-21.34200382232666
accused,2,acc_used,-22.05964469909668
accuser,2,acc_user,-23.56296730041504
acquitted,2,acqu_itted,-28.338488578796387
acrobat,2,ac_robat,-29.14027976989746
activist,2,activ_ist,-22.737351417541504
actor,1,actor,-18.226425170898438
actress,2,act_ress,-21.084367752075195
actuary,2,act_uary,-21.15315341949463
address,1,address,-16.71729278564453
adjuster,2,adjust_er,-23.336442947387695
admiral,3,ad_mir_al,-28.218299865722656
admired,3,ad_m_ired,-26.51389980316162
admirer,3,ad_mire_r,-31.38270664215088
admonished,3,ad_mon_ished,-29.62607479095459
adopted,2,ad_opted,-20.431357383728027
adored,2,ad_ored,-16.903444290161133
adorned,2,ad_orned,-23.390591621398926
adventurer,3,ad_venture_r,-30.269049644470215
advisor,2,ad_visor,-20.18587589263916
affronted,3,aff_ront_ed,-31.620756149291992
agent,1,agent,-17.198833465576172
aggravated,3,agg_rav_ated,-31.907276153564453
agitated,2,ag_itated,-26.257308959960938
aide,2,a_ide,-18.644545555114746
airplane,2,air_plane,-28.739423751831055
alarmed,2,al_armed,-22.94097328186035
alcohol,1,alcohol,-16.220199584960938
alcoholic,2,alcohol_ic,-23.695547103881836
amateur,2,am_ateur,-23.129530906677246
ambassador,2,amb_assador,-25.845232009887695
amused,2,am_used,-21.64774513244629
analyst,2,an_alyst,-21.71666145324707
anchorman,2,anch_orman,-27.704842567443848
announcer,3,ann_oun_cer,-31.011131286621094
annoyed,3,ann_oy_ed,-26.970669746398926
antagonized,3,ant_agon_ized,-30.94801902770996
anthem,2,ant_hem,-23.530898094177246
anthropologist,2,anthrop_ologist,-27.28736686706543
apartment,2,ap_artment,-22.825379371643066
applauded,4,app_l_aud_ed,-36.226266860961914
appointment,2,app_ointment,-22.513371467590332
appraiser,3,app_ra_iser,-30.58878517150879
apprehended,3,app_rehend_ed,-31.548213958740234
apprentice,2,app_rentice,-22.95271110534668
approached,2,appro_ached,-23.959507942199707
