Index,Word,log freq,nr. of tokens,tokens,word score
0,abandoned,9.500170136485425,3,ab_andon_ed,-17.33200454711914
1,abhorred,7.168579897264035,3,ab_hor_red,-24.725341796875
2,abolitionist,7.994632311431825,3,abol_ition_ist,-21.03104019165039
3,abused,7.9157131993821155,2,ab_used,-19.98108291625977
4,accepted,9.757362911053992,2,accept_ed,-16.479965209960938
5,accompanied,7.044905117129371,1,accompanied,-16.789039611816406
6,accosted,6.499787040655854,3,acc_ost_ed,-23.16318893432617
7,accountant,7.685703061234547,2,account_ant,-17.75826644897461
8,accused,8.729558869558568,2,acc_used,-18.82785415649414
9,accuser,8.009695357742922,2,acc_user,-20.34051513671875
10,acquitted,7.961370201719511,2,acqu_itted,-21.660564422607425
11,acrobat,8.234299635696253,2,ac_robat,-19.32724380493164
12,activist,8.203304026795282,2,activ_ist,-16.84682846069336
13,actor,9.884865228408032,1,actor,-17.29784393310547
14,actress,7.779466967458324,2,act_ress,-18.036754608154297
15,actuary,6.985641817639208,2,act_uary,-19.421314239501957
16,address,10.378572002524349,1,address,-13.080116271972656
17,adjuster,6.555356891810665,2,adjust_er,-21.23946762084961
18,admiral,8.909505512946101,3,ad_mir_al,-19.284008026123047
19,admired,7.615791072035833,3,ad_m_ired,-21.0434684753418
20,admirer,8.281470857895167,3,ad_mire_r,-24.20022201538086
21,admonished,6.814542897259958,3,ad_mon_ished,-21.513328552246094
22,adopted,9.691716587516886,2,ad_opted,-18.34311294555664
23,adored,7.280008252884188,2,ad_ored,-21.324180603027344
24,adorned,7.182352111885263,2,ad_orned,-21.11044311523437
25,adventurer,8.10349427838097,3,ad_venture_r,-19.17654800415039
26,advisor,8.300280189852664,2,ad_visor,-17.62584686279297
27,affronted,6.980075940561763,3,aff_ront_ed,-22.19283676147461
28,agent,10.884366804297896,1,agent,-16.42389678955078
29,aggravated,6.672032945461067,3,agg_rav_ated,-19.469654083251957
30,agitated,7.493317248862145,2,ag_itated,-21.574981689453125
31,aide,9.340227632810604,2,a_ide,-19.59818649291992
32,airplane,7.504942068396171,2,air_plane,-16.58035659790039
33,alarmed,7.309212365692763,2,al_armed,-21.92884826660156
34,alcohol,10.277324385186116,1,alcohol,-15.478431701660156
35,alcoholic,7.923348211930154,2,alcohol_ic,-17.57479476928711
