word,nr. of tokens,tokens,word score
cosmic,1,cosmic,-11.036359786987305
cosmical,2,cosmic_##al,-17.070302486419678
cosmology,3,co_##smo_##logy,-16.583377838134766
cosmopolitan,2,co_##smopolitan,-13.07744312286377
cosmopolitanism,3,co_##smopolitan_##ism,-15.532699584960938
cosmos,2,co_##smos,-13.714524269104004
cosponsors,4,co_##sp_##ons_##ors,-31.75566005706787
cossack,3,co_##ssa_##ck,-19.163540840148926
cossacks,3,co_##ssa_##cks,-20.642521858215332
cost,1,cost,-12.194841384887695
costaggini,3,costa_##gg_##ini,-33.418641090393066
costing,1,costing,-17.959623336791992
costive,2,cost_##ive,-18.107008934020996
costlier,2,cost_##lier,-17.967724323272705
costly,1,costly,-13.548513412475586
costs,1,costs,-14.877004623413086
costume,1,costume,-14.545612335205078
costumes,1,costumes,-16.264892578125
cotillion,3,co_##til_##lion,-21.205945014953613
cottage,1,cottage,-13.445493698120117
cottages,1,cottages,-16.34239959716797
cotten,2,co_##tten,-20.680262565612793
cotter,2,co_##tter,-16.045515537261963
cotton,1,cotton,-11.871344566345215
couch,1,couch,-14.101394653320312
couched,2,couch_##ed,-15.094332695007324
couches,2,couch_##es,-15.569950103759766
cough,1,cough,-13.917424201965332
coughing,1,coughing,-15.420473098754883
coughlin,2,cough_##lin,-24.938969612121582
could,1,could,-10.137629508972168
coulomb,3,co_##ulo_##mb,-24.526941299438477
council,1,council,-9.498778343200684
councilwoman,2,council_##woman,-16.462148666381836
counsel,1,counsel,-10.866971969604492
counseling,1,counseling,-13.952899932861328
counselor,1,counselor,-11.180658340454102
counselors,2,counselor_##s,-13.208056449890137
count,1,count,-10.454455375671387
counted,1,counted,-13.963926315307617
countenance,3,count_##enan_##ce,-22.30738067626953
counter,1,counter,-11.914982795715332
counteracted,3,counter_##act_##ed,-17.268313884735107
counterattack,3,counter_##att_##ack,-21.133488655090332
counterchallenge,4,counter_##chal_##len_##ge,-31.238265991210938
counterpart,1,counterpart,-14.44640827178955
counterparts,1,counterparts,-16.64010238647461
counterpoint,2,counter_##point,-14.12229061126709
counterproposal,5,counter_##p_##rop_##osa_##l,-29.84055233001709
counters,1,counters,-13.596166610717773
counties,1,counties,-15.858156204223633
counting,1,counting,-13.950112342834473
countless,1,countless,-12.160618782043457
countries,1,countries,-12.793559074401855
country,1,country,-8.887537002563477
countrymen,2,country_##men,-14.400781631469727
countryside,1,countryside,-14.259254455566406
countrywide,2,country_##wide,-13.861279010772705
counts,1,counts,-12.15228271484375
county,1,county,-11.152799606323242
coup,1,coup,-12.865575790405273
coupe,2,coup_##e,-14.76318073272705
couperin,3,coup_##eri_##n,-22.486729621887207
couple,1,couple,-9.935762405395508
coupled,1,coupled,-13.689833641052246
coupler,2,couple_##r,-16.678500175476074
couplers,2,couple_##rs,-16.901175022125244
couples,1,couples,-12.914294242858887
coupling,1,coupling,-15.391327857971191
coupon,2,coup_##on,-13.937325477600098
