word,nr. of tokens,tokens,word score
abandoned,1,abandoned,-9.446882247924805
abhorred,4,a_##b_##hor_##red,-15.670471668243408
abolitionist,2,abolition_##ist,-13.264541625976562
abused,1,abused,-10.645340919494629
accepted,1,accepted,-10.851057052612305
accompanied,1,accompanied,-11.36612319946289
accosted,3,a_##cco_##sted,-14.083274841308594
accountant,1,accountant,-10.228004455566406
accused,1,accused,-11.689492225646973
accuser,3,a_##cc_##user,-12.766231536865234
acquitted,1,acquitted,-12.49653434753418
acrobat,4,a_##c_##ro_##bat,-12.781254768371582
activist,1,activist,-10.486748695373535
actor,1,actor,-9.284539222717285
actress,1,actress,-9.550641059875488
actuary,2,act_##uary,-12.383954048156738
address,1,address,-9.110475540161133
adjuster,2,adjust_##er,-14.417556762695312
admiral,1,admiral,-11.198556900024414
admired,1,admired,-11.368149757385254
admirer,2,admire_##r,-10.832775115966797
admonished,3,ad_##mon_##ished,-21.350784301757812
adopted,1,adopted,-9.506619453430176
adored,2,ad_##ored,-14.149810791015625
adorned,1,adorned,-12.7111234664917
adventurer,2,adventure_##r,-9.898184776306152
advisor,1,advisor,-11.055573463439941
affronted,4,a_##ff_##ron_##ted,-18.237668991088867
agent,1,agent,-8.499117851257324
aggravated,4,a_##gg_##ra_##vated,-17.312342643737793
agitated,1,agitated,-12.337921142578125
aide,1,aide,-11.577832221984863
airplane,1,airplane,-9.522697448730469
alarmed,1,alarmed,-11.887260437011719
alcohol,1,alcohol,-8.447671890258789
alcoholic,1,alcoholic,-9.828754425048828
amateur,1,amateur,-9.90360164642334
ambassador,1,ambassador,-10.500146865844727
amused,1,amused,-10.697250366210938
analyst,1,analyst,-11.292007446289062
anchorman,2,anchor_##man,-14.641980171203613
announcer,1,announcer,-10.892671585083008
annoyed,1,annoyed,-10.130279541015625
antagonized,3,ant_##agon_##ized,-20.012351989746094
anthem,1,anthem,-11.292831420898438
anthropologist,1,anthropologist,-9.94611930847168
apartment,1,apartment,-8.45368480682373
applauded,3,app_##lau_##ded,-18.735761642456055
appointment,1,appointment,-10.600664138793945
appraiser,2,app_##raiser,-14.133077621459961
apprehended,4,app_##re_##hend_##ed,-16.247014045715332
apprentice,1,apprentice,-10.161280632019043
approached,1,approached,-11.326839447021484
approved,1,approved,-10.092700958251953
archaeologist,1,archaeologist,-11.072135925292969
architect,1,architect,-9.695279121398926
archivist,2,arch_##ivist,-14.231205940246582
aristocrat,3,a_##risto_##crat,-11.554701805114746
arranged,1,arranged,-11.087597846984863
arsonist,3,a_##rson_##ist,-10.188600063323975
article,1,article,-9.195975303649902
artisan,2,art_##isan,-10.110629081726074
artist,1,artist,-8.452397346496582
