word,nr. of tokens,tokens,word score
shortage,2,short_age,-12.307571411132812
shortages,2,short_ages,-15.797149658203125
shorten,2,short_en,-14.376384735107422
shortened,2,short_ened,-12.784061431884766
shortening,2,short_ening,-11.324066162109375
shorter,2,sh_orter,-11.611942291259766
shortest,2,short_est,-13.297676086425781
shortly,2,short_ly,-14.797260284423828
shorts,2,sh_orts,-11.284595489501953
shortsighted,4,sh_orts_ight_ed,-15.834638118743896
shot,1,shot,-9.51385498046875
shotgun,2,shot_gun,-9.776315689086914
shots,1,shots,-11.464122772216797
shotshells,3,shots_hell_s,-18.360998153686523
shouders,3,sh_oud_ers,-22.375115394592285
should,1,should,-9.747360229492188
shoulder,2,sh_oulder,-10.87033462524414
shouldered,2,should_ered,-15.854011535644531
shouldering,2,should_ering,-15.162649154663086
shoulders,2,should_ers,-15.120390892028809
shoup,2,sh_oup,-17.016193389892578
shout,2,sh_out,-10.925556182861328
shouted,2,sh_outed,-15.185428619384766
shouting,2,sh_outing,-11.38632583618164
shouts,2,sh_outs,-13.933406829833984
shoved,2,sh_oved,-14.66231918334961
shovel,3,sh_o_vel,-10.982246398925781
shoveled,4,sh_o_vel_ed,-16.556800842285156
shoving,2,sh_oving,-12.505237579345703
show,1,show,-9.380386352539062
showdown,2,show_down,-13.046287536621094
showed,2,sh_owed,-13.768741607666016
shower,2,sh_ower,-9.914508819580078
showered,2,sh_owered,-14.368297576904297
showering,3,sh_ower_ing,-13.494976043701172
showers,2,sh_owers,-13.068553924560547
showing,2,sh_owing,-10.872760772705078
showings,2,show_ings,-17.03681182861328
showman,2,show_man,-14.760005950927734
showmanship,2,show_manship,-15.4119873046875
shown,1,shown,-11.814765930175781
shows,1,shows,-11.805030822753906
showy,2,show_y,-13.041145324707031
shrank,2,shr_ank,-15.236015319824219
shred,2,sh_red,-10.783985137939453
shredder,3,sh_red_der,-12.663864135742188
shreds,3,sh_red_s,-14.489532470703125
shrewdly,4,sh_rew_d_ly,-15.24580192565918
shriek,3,sh_ri_ek,-12.924392700195312
shrieking,3,sh_ri_eking,-14.393115997314453
shrill,2,sh_rill,-11.37723159790039
shrilling,2,shr_illing,-18.71182632446289
shrilly,2,shr_illy,-18.484233856201172
shrimp,2,sh_rimp,-10.13766098022461
shrine,2,sh_rine,-12.485713958740234
shrines,2,shr_ines,-15.241912841796875
shrink,2,shr_ink,-10.166061401367188
shrinkage,3,shr_ink_age,-10.952959060668945
shrinking,2,shr_inking,-10.742782592773438
shriveled,4,sh_ri_vel_ed,-15.379083752632141
shriver,2,sh_river,-15.174259185791016
shrouded,3,sh_roud_ed,-13.659082412719727
shrub,2,sh_rub,-11.578304290771484
shrubs,2,shr_ubs,-14.85141372680664
shrugged,2,sh_rugged,-14.051883697509766
shrugs,3,sh_rug_s,-13.94593620300293
shu,2,sh_u,-13.245105743408203
shucks,2,sh_ucks,-14.448284149169922
shudder,2,sh_udder,-9.967777252197266
shuddered,3,sh_udd_ered,-14.055768966674805
shuddering,3,sh_udder_ing,-12.852587699890137
shuffle,2,sh_uffle,-10.993083953857422
shuffled,3,sh_uff_led,-14.696737289428711
shuffling,3,sh_uff_ling,-12.917718887329102
shunned,3,sh_un_ned,-14.190933227539062
shuns,2,sh_uns,-15.93967056274414
shunt,2,sh_unt,-12.63460922241211
shunts,2,sh_unts,-17.474796295166016
shut,1,shut,-9.540946960449219
shutdown,2,shut_down,-10.880435943603516
shutdowns,2,shut_downs,-16.35321044921875
shuts,2,sh_uts,-15.126018524169922
shutter,2,sh_utter,-11.993473052978516
shutters,2,sh_utters,-14.216136932373047
shutting,2,shut_ting,-12.784360885620117
shy,2,sh_y,-10.664928436279297
shylock,3,sh_yl_ock,-13.823795318603516
shylockian,4,sh_yl_ock_ian,-20.41913604736328
siamese,3,si_ames_e,-12.284690856933594
siberia,3,s_iber_ia,-15.655232906341553
siberian,3,s_iber_ian,-11.666876792907715
sibling,2,s_ibling,-10.75689697265625
sibylla,4,s_ib_y_lla,-16.474266052246094
sibyls,4,s_ib_yl_s,-17.59532356262207
sicily,2,sic_ily,-19.080463409423828
sick,2,s_ick,-9.16357421875
sickened,3,s_ick_ened,-14.401655197143555
sicker,2,s_icker,-12.675643920898438
sickly,3,s_ick_ly,-13.157831192016602
sickness,3,s_ick_ness,-11.96434211730957
sickroom,3,s_ick_room,-18.65781593322754
sid,1,sid,-9.905399322509766
siddo,3,s_idd_o,-19.9164981842041
side,1,side,-8.76654052734375
sideboard,2,side_board,-14.090105056762695
sideboards,2,side_boards,-18.62492561340332
sidechairs,2,side_chairs,-22.436796188354492
sides,2,s_ides,-12.848052978515625
sidewalk,3,sid_ew_alk,-10.96316146850586
sidewalks,3,sid_ew_alks,-16.103052139282227
sidewinder,3,sid_ew_inder,-13.445564270019531
sidewise,3,sid_ew_ise,-17.5566349029541
sidled,2,sid_led,-20.947322845458984
sidney,2,sid_ney,-16.211551666259766
sie,1,sie,-10.392410278320312
siege,2,s_iege,-11.0372314453125
siepi,2,sie_pi,-18.769237518310547
sifted,2,s_ifted,-15.827110290527344
sifting,2,s_ifting,-13.724349975585938
sigh,2,s_igh,-11.230598449707031
sighed,2,s_ighed,-16.58251953125
sighing,3,s_igh_ing,-14.00304889678955
sight,1,sight,-9.981258392333984
sighted,1,sighted,-12.104915618896484
sights,2,s_ights,-13.247322082519531
sightseeing,2,sight_seeing,-11.360687255859375
sigmen,3,s_ig_men,-19.711580276489258
sign,1,sign,-8.684555053710938
signal,2,sign_al,-10.433212280273438
signaled,2,sign_aled,-17.06725311279297
signaling,2,sign_aling,-13.127578735351562
signals,2,sign_als,-13.28365707397461
signature,2,sign_ature,-11.106746673583984
signed,1,signed,-11.58376693725586
significance,3,sign_ific_ance,-11.174396514892578
significant,1,significant,-10.161323547363281
significantly,2,sign_ificantly,-12.750144958496094
signified,2,sign_ified,-14.289695739746094
signify,2,sign_ify,-13.72772216796875
signing,2,sign_ing,-13.506832122802734
signora,2,sign_ora,-18.095264434814453
signore,2,sign_ore,-16.591354370117188
signs,2,sign_s,-12.589805603027344
sihanouk,4,s_ih_an_ouk,-23.47854995727539
silas,2,sil_as,-16.09444808959961
silence,2,sil_ence,-10.020317077636719
silenced,2,sil_enced,-13.302032470703125
silences,2,sil_ences,-13.921112060546875
silent,2,sil_ent,-8.957359313964844
silently,2,sil_ently,-12.53704833984375
silhouette,3,sil_hou_ette,-12.053006172180176
silhouetted,4,sil_hou_et_ted,-14.741180419921875
silicates,2,sil_icates,-18.329689025878906
silicone,2,sil_icone,-12.243049621582031
silk,2,sil_k,-11.039371490478516
silken,2,sil_ken,-13.534114837646484
silky,2,sil_ky,-12.425106048583984
sill,2,s_ill,-11.955764770507812
silly,2,s_illy,-8.724617004394531
silo,2,sil_o,-13.843547821044922
silvas,2,sil_vas,-18.85919952392578
silver,1,silver,-8.893501281738281
silvio,3,sil_v_io,-17.272157669067383
similar,1,similar,-10.311161041259766
similarity,2,similar_ity,-11.650795459747314
similarly,2,similar_ly,-14.917691707611084
similitude,3,sim_il_itude,-12.983304977416992
simmer,2,s_immer,-11.947227478027344
simmons,3,s_imm_ons,-13.739898681640625
simms,2,sim_ms,-15.920961380004883
simon,2,sim_on,-12.492757797241211
simpkins,3,s_imp_kins,-25.946014404296875
simple,1,simple,-8.551124572753906
simpler,2,sim_pler,-11.476598739624023
simplest,3,sim_pl_est,-13.197093486785889
simplicity,3,sim_pl_icity,-10.054866790771484
simplified,3,sim_pl_ified,-11.612683773040771
simplifies,3,sim_pl_ifies,-15.654418468475342
simplify,3,sim_pl_ify,-12.045642375946045
simplistic,3,sim_pl_istic,-12.136997699737549
simply,2,sim_ply,-10.989927291870117
simpson,2,sim_pson,-12.037759780883789
simulate,2,sim_ulate,-12.167707443237305
simulation,2,sim_ulation,-10.096097946166992
simultaneously,3,sim_ultane_ously,-13.82759952545166
sin,1,sin,-7.749076843261719
sinatra,2,sin_atra,-13.770999908447266
since,1,since,-10.725269317626953
sincere,2,since_re,-12.37841796875
sincerity,2,s_incerity,-11.752182006835938
sine,2,s_ine,-11.832901000976562
sinewy,3,sin_ew_y,-14.375940322875977
sinfulness,2,sin_fulness,-14.846664428710938
sing,1,sing,-8.1910400390625
singed,2,sing_ed,-13.817930221557617
singer,2,s_inger,-10.424125671386719
singers,2,sing_ers,-14.047163009643555
singing,2,sing_ing,-9.842321395874023
single,1,single,-8.706497192382812
singled,2,sing_led,-14.925451278686523
singlehandedly,2,single_handedly,-15.000648498535156
singling,2,sing_ling,-13.181222915649414
sings,2,s_ings,-13.651626586914062
singular,2,sing_ular,-9.054651260375977
sinister,2,sin_ister,-8.824256896972656
sink,2,s_ink,-10.988449096679688
